name,score,us_modern_2010_plus,nyc_recent_2018_plus
Reid,5079,4743,42
Phoebe,5077,4053,128
Matteo,5077,2725,294
Braden,5074,5074,0
Johnny,5068,4988,10
Gregory,5063,4847,27
Emilio,5044,4340,88
Sergio,5029,4941,11
Rivka,5022,942,510
Emanuel,5012,4532,60
Kathryn,4989,4989,0
Kendra,4978,4978,0
Lia,4969,3281,211
Adelyn,4965,4629,42
Bianca,4958,4254,88
Angelo,4955,4267,86
Anderson,4951,4487,58
Kelsey,4934,4750,23
Georgia,4922,4242,85
Josie,4907,4907,0
Madeleine,4893,4077,102
Iker,4872,4184,86
Alondra,4866,4610,32
Cassidy,4852,4764,11
Justice,4837,4277,70
Kayleigh,4824,4824,0
Dalton,4822,4822,0
Laura,4808,4416,49
Mohamed,4806,2358,306
Paris,4802,4386,52
Milo,4799,3399,175
Ibrahim,4789,2133,332
Kaydence,4785,4785,0
Karter,4773,3549,153
Yosef,4773,1109,458
Jax,4764,4588,22
Erik,4755,4755,0
Carly,4747,4747,0
Ashlynn,4747,4747,0
Lane,4745,4745,0
Adalynn,4724,4724,0
Cadence,4712,4712,0
Kiara,4706,3794,114
Anastasia,4677,3781,112
Christina,4644,4524,15
Allyson,4643,4643,0
Mariana,4639,4175,58
Messiah,4633,2369,283
Holden,4631,4431,25
Sierra,4627,4627,0
Aden,4611,4531,10
Malia,4609,3793,102
Camryn,4587,4587,0
Abby,4582,4030,69
Joanna,4581,3805,97
Malik,4566,3902,83
Harley,4550,4366,23
Gia,4539,3603,117
Nadia,4535,4431,13
Kyla,4522,4434,11
Cruz,4513,4513,0
Pedro,4510,4054,57
Thiago,4507,995,439
River,4493,3941,69
Arabella,4491,4491,0
Fabian,4460,4380,10
Haylee,4456,4456,0
Marissa,4455,4455,0
Kamryn,4454,4454,0
Jazmin,4451,3907,68
Evangeline,4445,4125,40
Selena,4442,3810,79
Frank,4437,3957,60
Julius,4431,3551,110
Talia,4422,3078,168
Kenzie,4402,4234,21
Roberto,4392,4304,11
Cheyenne,4387,4387,0
Brennan,4383,4383,0
Gemma,4378,3490,111
Veronica,4360,4040,40
Vivienne,4360,3536,103
Kira,4351,3679,84
Lilah,4345,3985,45
Beau,4336,3896,55
Kyleigh,4328,4328,0
Ruth,4322,3618,88
Allen,4317,3701,77
Gunner,4311,4311,0
Heaven,4310,3830,60
Enzo,4309,2533,222
Lilliana,4211,4211,0
Ari,4195,2635,195
Sarai,4187,2787,175
Emely,4183,3231,119
Dawson,4162,4162,0
Kelly,4155,3795,45
Amira,4139,2283,232
Jayda,4138,3962,22
Alessandra,4138,3442,87
Giuliana,4137,3729,51
Lena,4136,3448,86
Yaretzi,4134,3742,49
Cali,4132,3524,76
Maximiliano,4122,3490,79
Mallory,4107,4107,0
Danna,4088,3248,105
Karen,4079,3887,24
Annabella,4070,4070,0
Esmeralda,4065,3673,49
Mordechai,4059,659,425
Joaquin,4046,3726,40
Jane,4039,3383,82
Miley,4038,4038,0
Derrick,4033,4033,0
Noelle,4025,3745,35
Marcos,4017,3569,56
Journey,4012,3476,67
Beckett,3997,3997,0
Sage,3982,3374,76
Madilyn,3979,3979,0
Eloise,3979,2891,136
Nova,3953,1385,321
Amiyah,3949,3381,71
Jazmine,3926,3926,0
Jamie,3926,3750,22
Milan,3918,2342,197
Annie,3917,3221,87
Desmond,3906,3506,50
Kamila,3890,2978,114
Macy,3882,3882,0
Grady,3878,3878,0
Brooks,3852,3444,51
Raegan,3844,3844,0
Colby,3819,3819,0
Maddison,3791,3791,0
Elliana,3780,3700,10
Aisha,3778,1682,262
Casey,3776,3776,0
Carmen,3761,3681,10
Ruben,3760,3760,0
Ismael,3757,2981,97
Olive,3754,3130,78
Aron,3754,1202,319
Heidi,3750,3750,0
Colt,3736,3736,0
Armani,3721,3441,35
Prince,3716,2140,197
Nehemiah,3707,3531,22
Solomon,3707,2355,169
Albert,3705,2657,131
Jayleen,3701,2861,105
Ariella,3701,1885,227
Noel,3693,2821,109
Jazlyn,3685,2941,93
Elle,3669,2933,92
Guadalupe,3664,3480,23
Alejandra,3663,3503,20
Maliyah,3646,3310,42
Angelica,3644,3196,56
Sasha,3644,3084,70
Walter,3634,3186,56
Brock,3633,3633,0
Romeo,3630,3470,20
Corey,3626,3626,0
Tiffany,3626,3346,35
Kara,3625,3625,0
Karina,3621,3533,11
Shimon,3619,587,379
Jett,3614,3614,0
Danny,3613,3293,40
Serena,3611,2651,120
Adriel,3603,2131,184
Ainsley,3579,3579,0
Breanna,3560,3560,0
Maverick,3559,3143,52
Adan,3557,3461,12
Elaina,3556,3556,0
Karla,3547,3163,48
Zara,3545,1841,213
Adelaide,3542,3310,29
Braylen,3540,3540,0
Jayson,3518,3262,32
Sloane,3518,2342,147
Anaya,3506,2338,146
Pablo,3503,3087,52
Nayeli,3499,3171,41
Rylie,3498,3498,0
Dillon,3497,3497,0
Brynlee,3496,3496,0
April,3496,2952,68
Waylon,3479,3479,0
Yehuda,3467,739,341
Amina,3459,1467,249
Arielle,3442,2594,106
Leland,3435,3435,0
Caitlyn,3434,3434,0
Brycen,3429,3429,0
Marshall,3421,3421,0
Yitzchok,3411,523,361
Jakob,3409,3329,10
Cohen,3405,3405,0
Miracle,3381,2477,113
Hanna,3380,2828,69
Bethany,3371,3371,0
Itzel,3358,2822,67
Crystal,3353,3273,10
Mariam,3353,1665,211
Aubrie,3349,3349,0
Baylee,3342,3342,0
Karson,3340,3340,0
Philip,3340,2716,78
Aleah,3339,2891,56
Devon,3338,3338,0
Titus,3337,3337,0
Matias,3328,1512,227
Reed,3323,3323,0
Kellen,3321,3321,0
Imani,3321,2985,42
Cade,3316,3316,0
Trey,3313,3313,0
Adonis,3303,1111,274
Scarlet,3300,3108,24
Kyra,3279,3167,14
Kali,3270,2614,82
Armando,3268,3268,0
Macie,3265,3265,0
Nylah,3258,2442,102
Fernanda,3239,3151,11
Phillip,3237,3237,0
Menachem,3229,637,324
Rory,3223,2543,85
Yisroel,3223,687,317
June,3222,2574,81
Maryam,3220,1388,229
Tristen,3214,3214,0
Ahmed,3212,1828,173
Francesca,3210,2378,104
Janiyah,3206,2950,32
Michaela,3202,2890,39
Ronald,3196,3196,0
Julio,3189,3077,14
Enrique,3177,3177,0
Esteban,3176,2888,36
Kellan,3175,3175,0
Julissa,3170,2962,26
Keith,3167,3167,0
Kyrie,3159,1063,262
Daphne,3155,2651,63
Mohammed,3151,1639,189
Hugo,3150,2374,97
Rocco,3148,2636,64
Liana,3148,2084,133
Jay,3141,2789,44
Julie,3134,3054,10
Madisyn,3128,3048,10
Kailey,3125,3029,12
Gerardo,3123,3123,0
Katelynn,3118,3118,0
Addisyn,3114,3114,0
Lucille,3105,2833,34
Audrina,3101,3101,0
Randy,3091,2907,23
Kaelyn,3088,3088,0
Scott,3087,2999,11
Maximilian,3076,2356,90
Darius,3074,2994,10
Cynthia,3068,2764,38
Alaia,3068,52,377
Aniya,3065,2873,24
Courtney,3061,3061,0
Raul,3048,3048,0
Gitty,3042,442,325
Savanna,3038,3038,0
Vera,3032,2176,107
Madelynn,3031,3031,0
Brittany,3030,2854,22
Anya,3025,2825,25
Landyn,3019,3019,0
Cassandra,3017,3017,0
Dustin,3014,3014,0
Mohammad,3013,1485,191
Caitlin,3009,3009,0
Jaylah,3009,2921,11
Carolina,3009,2841,21
Yusuf,3004,1284,215
Trent,3002,3002,0
Keaton,2996,2996,0
Jaime,2996,2996,0
Joselyn,2995,2907,11
Archer,2989,2509,60
Ada,2975,2279,87
Raelynn,2974,2974,0
Tate,2971,2971,0
Kaylie,2968,2888,10
Janelle,2967,2967,0
Helen,2956,2780,22
Maeve,2950,2054,112
Charlee,2939,2939,0
Zuri,2935,1359,197
Celeste,2933,2517,52
Faigy,2928,400,316
Toby,2924,1540,173
Braydon,2921,2921,0
Samara,2921,1833,136
Camilla,2920,2552,46
Melany,2903,2535,46
Saul,2896,2680,27
Nasir,2896,1776,140
Tiana,2894,2894,0
Kendrick,2877,2477,50
Catalina,2868,2068,100
Dexter,2863,2863,0
Remington,2861,2861,0
Jimena,2854,2662,24
Myla,2851,2771,10
Elisa,2851,2491,45
Monica,2844,2844,0
Brylee,2844,2844,0
Legend,2843,819,253
Kolton,2836,2836,0
Jerry,2829,2573,32
Donald,2827,2827,0
Aylin,2827,2387,55
Nia,2824,2336,61
Jessie,2818,2818,0
Holly,2818,2818,0
Reece,2816,2816,0
Gideon,2813,2733,10
Knox,2811,2811,0
Dayana,2802,2402,50
Moises,2796,2268,66
Kaia,2789,1805,123
Braelyn,2778,2778,0
Kaylin,2776,2776,0
Ronan,2775,2191,73
Sam,2775,1911,108
Nico,2771,1859,114
Skye,2770,2570,25
Mathew,2765,2557,26
Lana,2764,2524,30
Chris,2764,2380,48
Orion,2758,2406,44
Celine,2758,838,240
Madalyn,2754,2754,0
Uriel,2748,2188,70
Walker,2746,2746,0
Rebekah,2745,2745,0
Alani,2736,1592,143
Darren,2734,2494,30
Kason,2727,2727,0
Kamari,2727,2263,58
Khalil,2720,2168,69
Damon,2718,2718,0
Colten,2709,2709,0
Angie,2709,2397,39
Jaelyn,2707,2707,0
Haven,2698,2698,0
Jonas,2691,2131,70
Briella,2683,2483,25
Kade,2681,2681,0
Barrett,2672,2672,0
Izaiah,2664,2664,0
Chandler,2664,2664,0
Joy,2660,2316,43
Adele,2651,1571,135
Tony,2645,2645,0
Malky,2643,315,291
Quentin,2642,2642,0
Larry,2641,2641,0
Jamari,2634,2418,27
Malka,2631,527,263
Mckinley,2628,2628,0
Zariah,2627,2331,37
Rivky,2624,264,295
Rodrigo,2617,2529,11
Johan,2615,2031,73
Ayaan,2615,1199,177
Shiloh,2613,2077,67
Theo,2611,907,213
Jaylin,2605,2421,23
Kiley,2604,2604,0
Tatiana,2601,2601,0
Jaliyah,2599,2495,13
Hayley,2598,2518,10
Russell,2596,2596,0
Elsie,2594,2594,0
Kailyn,2584,2584,0
Eve,2578,1986,74
Angelique,2573,2477,12
Cyrus,2571,2107,58
Annalise,2569,2177,49
Amara,2565,1749,102
Moses,2564,1892,84
Lacey,2560,2560,0
Bristol,2554,2554,0
Rosalie,2552,2552,0
Alanna,2545,2193,44
Abram,2544,2544,0
Zaiden,2528,2408,15
Dennis,2524,2524,0
Lilian,2523,2443,10
Jimmy,2522,2434,11
Noa,2516,892,203
Adelynn,2513,2345,21
Leonel,2512,2224,36
Leighton,2511,2511,0
Jasmin,2511,2511,0
Kadence,2510,2510,0
Viviana,2507,2427,10
Ace,2504,1712,99
Aileen,2503,2167,42
Porter,2496,2496,0
Shlomo,2493,493,250
Davis,2491,2491,0
Meir,2480,400,260
Marilyn,2479,2479,0
Kennedi,2475,2475,0
Kassidy,2474,2474,0
Mitchell,2463,2463,0
Kamden,2460,2460,0
Dahlia,2458,2082,47
Kobe,2455,2143,39
Gustavo,2446,2446,0
Aleena,2446,1998,56
Rayan,2445,1229,152
Tzvi,2431,407,253
Sylvia,2424,2056,46
Gracelyn,2418,2418,0
Zachariah,2417,2417,0
Brayan,2414,2310,13
